a52dec 0.8.0-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-2
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.2-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.6-2
xsel 1.2.1-2
xsettingsd 1.0.2-2
xvidcore 1.3.7-3
yay 12.3.5-1
yay-debug 12.3.5-1
yazi 0.3.1-1
zimg 3.0.5-1
zix 0.4.2-2
zsh 5.9-5
zsh-autosuggestions 0.7.0-3
zsh-syntax-highlighting 0.8.0-1
zsh-theme-powerlevel10k-git r4280.16e58484-1
zxing-cpp 2.2.1-1
